,name,group_id,formation_energy_gc
0,primary -Cl3 [H0 Z0 Mg0],1,0.5522381887504428
1,primary -Cl2 [H0 Z0 Mg0],2,-8.651037063311955
2,secondary -Cl2 [H0 Z0 Mg0],3,2.1293798886584345
3,primary -Cl [H0 Z0 Mg0],4,-21.571556553037244
4,secondary -Cl [H0 Z0 Mg0],5,-7.71787315403418
5,tertiary -Cl [H0 Z0 Mg0],6,-3.782242951072407e-12
6,ring -Cl [H0 Z0 Mg0],7,-3.5390066835650407
7,ring -Br [H0 Z0 Mg0],8,24.387260697530103
8,ring -I [H0 Z0 Mg0],9,83.35395615883147
9,ring -F [H0 Z0 Mg0],10,-166.04593800004514
10,-Br [H0 Z0 Mg0],11,8.075404638549025e-13
11,-I [H0 Z0 Mg0],12,-4.003293874201619e-12
12,-F [H0 Z0 Mg0],13,1.4985604166728838e-13
13,-S-O [H1 Z0 Mg0],14,-1.3956715987598508e-12
14,-S-O [H0 Z-1 Mg0],15,2.3140088856525514e-12
15,ring -s- [H0 Z0 Mg0],16,2.807551715113544e-13
16,ring -S- [H0 Z0 Mg0],17,-3.3771457576906483e-12
17,-SO3 [H1 Z0 Mg0],18,-3.241530527286212e-13
18,-SO3 [H0 Z-1 Mg0],19,-748.3028505257397
19,-SO2- [H0 Z0 Mg0],20,4.119199984088774e-12
20,-SOO [H0 Z-1 Mg0],21,-5.508018507190865e-14
21,-SOO [H1 Z0 Mg0],22,-2.7237520036466753e-12
22,-S< [H0 Z0 Mg0],23,1.9030533974731575e-12
23,-S-S- [H0 Z0 Mg0],24,31.888177298283843
24,ring -S-S- [H0 Z0 Mg0],25,58.597050924289476
25,-C(=O)S- [H0 Z0 Mg0],26,-123.27249733921188
26,-C(=O)S [H1 Z0 Mg0],27,-2.6766990732093615e-12
27,-C(=O)S [H0 Z-1 Mg0],28,2.0396005058563157e-12
28,-S [H1 Z0 Mg0],29,26.21173626245437
29,-S [H0 Z-1 Mg0],30,4.38403447612383e-12
30,-S- [H0 Z0 Mg0],31,30.21452890406286
31,-CO-OPO3 [H0 Z-2 Mg0],32,-1168.7734429923685
32,-CO-OPO3 [H1 Z-1 Mg0],33,3.942259516800002e-13
33,-CO-OPO3 [H2 Z0 Mg0],34,-4.55427496599814e-13
34,CO-OPO3 [H1 Z-2 Mg0],35,-1178.329910886558
35,CO-OPO3 [H2 Z-1 Mg0],36,-2.743308372114547e-12
36,CO-OPO3 [H3 Z0 Mg0],37,3.4347507198262905e-13
37,-OPO3- [H0 Z-1 Mg0],38,-748.3028505257465
38,-OPO3- [H1 Z0 Mg0],39,4.1667219703125185e-13
39,-OPO2- [H0 Z-1 Mg0],40,-859.6434282978221
40,-OPO2- [H1 Z0 Mg0],41,-9.123204561883966e-13
41,-OPO3 [H0 Z-2 Mg0],42,-988.8041546768081
42,-OPO3 [H1 Z-1 Mg0],43,-1039.6311408307922
43,-OPO3 [H2 Z0 Mg0],44,5.942709611544167e-13
44,-OPO3-OPO2- [H0 Z-2 Mg0],45,-1849.249678290132
45,-OPO3-OPO2- [H1 Z-1 Mg0],46,1.174667299246491e-12
46,-OPO3-OPO2- [H2 Z0 Mg0],47,-9.693151505663333e-13
47,-OPO3-OPO2- [H0 Z0 Mg1],48,1.4331329697603514e-13
48,-OPO2-OPO2- [H0 Z-2 Mg0],49,-1725.4157173533704
49,-OPO2-OPO2- [H1 Z-1 Mg0],50,-8.923530875676789e-13
50,-OPO2-OPO2- [H2 Z0 Mg0],51,-2.4076086291943204e-13
51,-OPO2-OPO2- [H0 Z0 Mg1],52,-1.2065909144048507e-12
52,ring -OPO3- [H0 Z-1 Mg0],53,-565.1913266883843
53,ring -OPO3- [H1 Z0 Mg0],54,9.25992413882435e-13
54,ring -OPO3-OPO2- [H0 Z-2 Mg0],55,-5.605371603264411e-13
55,ring -OPO3-OPO2- [H1 Z-1 Mg0],56,-9.93023257038311e-14
56,ring -OPO3-OPO2- [H2 Z0 Mg0],57,-5.142098739767955e-13
57,ring -OPO2-OPO2- [H0 Z-2 Mg0],58,-4.859124033091689e-13
58,ring -OPO2-OPO2- [H1 Z-1 Mg0],59,-2.2261350999358368e-13
59,ring -OPO2-OPO2- [H2 Z0 Mg0],60,-7.699659074520043e-13
60,ring -OPO2-OPO2- [H0 Z0 Mg1],61,1.2696620251215816e-12
61,N-PO3 [H0 Z-2 Mg0],62,-534.1853974739406
62,N-PO3 [H1 Z-1 Mg0],63,-7.881049655014529e-13
63,N-PO3 [H2 Z0 Mg0],64,-5.253129755429223e-13
64,C-PO3 [H0 Z-2 Mg0],65,-9.20608060675515e-13
65,C-PO3 [H1 Z-1 Mg0],66,-814.9859656051246
66,C-PO3 [H2 Z0 Mg0],67,-2.2102856795470184e-13
67,-NO2 [H0 Z0 Mg0],68,-3.5166020760069315e-13
68,NC(=N)N [H0 Z0 Mg0],69,21.997741472717394
69,ring nc(=n)n [H0 Z0 Mg0],70,-282.5254744806847
70,two fused rings =n< [H0 Z0 Mg0],71,1.383321688996185e-13
71,ring =n< [H0 Z1 Mg0],72,57.23242350172824
72,ring =n< [H0 Z0 Mg0],73,99.58696649473931
73,ring -n= [H1 Z1 Mg0],74,69.85228562192975
74,ring -n= [H0 Z0 Mg0],75,60.150252314314436
75,ring -n= [H0 Z-1 Mg0],76,126.57447262389026
76,two fused rings -N< [H1 Z1 Mg0],77,-1.5942542421279597e-13
77,two fused rings -N< [H0 Z0 Mg0],78,228.43066773968954
78,two fused rings =N< [H0 Z1 Mg0],79,-4.15983095858138e-14
79,ring =N< [H0 Z1 Mg0],80,61.418911209955695
80,-N- [H2 Z1 Mg0],81,6.55264171986313
81,-N- [H1 Z0 Mg0],82,36.09796092076076
82,-N- [H0 Z-1 Mg0],83,-3.3450498075874033e-13
83,ring =N- [H1 Z1 Mg0],84,43.244713607301165
84,ring =N- [H0 Z0 Mg0],85,87.05898128782312
85,ring -N- [H2 Z1 Mg0],86,-0.4373485317955304
86,ring -N- [H1 Z0 Mg0],87,51.00659648303427
87,ring -N- [H0 Z-1 Mg0],88,6.233956263534046e-14
88,ring -N< [H1 Z1 Mg0],89,-10.882407640985868
89,ring -N< [H0 Z0 Mg0],90,102.45558913880681
90,=N [H2 Z1 Mg0],91,7.2727179888926905
91,=N [H1 Z0 Mg0],92,5.654431156491161
92,ring N-CO-N [H0 Z0 Mg0],93,-149.5064998369175
93,N-CO-N [H0 Z0 Mg0],94,-161.2397720196953
94,N-COO [H1 Z0 Mg0],95,7.705045773476348e-14
95,N-COO [H0 Z-1 Mg0],96,-330.8571830217914
96,N-COO- [H0 Z0 Mg0],97,8.929335965996361e-15
97,N-CO [H1 Z0 Mg0],98,-129.3216281341247
98,-N-CO- [H0 Z0 Mg0],99,-182.15152222350508
99,N-CO- [H0 Z0 Mg0],100,-168.99754054981682
100,-N [H3 Z1 Mg0],101,-9.232284947885839
101,-N [H2 Z0 Mg0],102,17.365096373475964
102,-N [H1 Z-1 Mg0],103,-1.2929366797513982e-14
103,ring >c-N [H2 Z0 Mg0],104,26.08283878376441
104,ring >c-N [H3 Z1 Mg0],105,4.752090793169875e-15
105,-N< [H1 Z1 Mg0],106,4.089313123483836e-15
106,-N< [H0 Z0 Mg0],107,34.18227948474773
107,=N- [H0 Z0 Mg0],108,-260.7305153205879
108,=N- [H1 Z1 Mg0],109,-273.45488215335405
109,>N< [H0 Z1 Mg0],110,-2.5690304518984592e-14
110,=N=O [H0 Z1 Mg0],111,3.465250485574178e-14
111,-O-CO-O- [H0 Z0 Mg0],112,-1.5103065507145187e-14
112,ring -o-cO- [H0 Z0 Mg0],113,-1.0488752732639898e-14
113,ring -O-CO- [H0 Z0 Mg0],114,-249.76173929593412
114,-O-CO- [H0 Z0 Mg0],115,-307.55804085652727
115,-O-C=O [H0 Z0 Mg0],116,-9.384662465478978e-15
116,ring >c-O [H1 Z0 Mg0],117,-176.801950251317
117,ring >c-O [H0 Z-1 Mg0],118,-206.1529117545163
118,ring >C=O [H0 Z0 Mg0],119,-139.56333417456204
119,ring >C-O [H2 Z0 Mg0],120,-156.04763977092432
120,ring >C(-O)- [H1 Z0 Mg0],121,-172.52201081410084
121,ring >C(-O)- [H0 Z-1 Mg0],122,-2.9716614123940785e-15
122,-COO [H0 Z-1 Mg0],123,-317.99151270730493
123,-COO [H1 Z0 Mg0],124,7.094731685511757e-15
124,>C=O [H0 Z0 Mg0],125,-117.19247385601656
125,-C=O [H1 Z0 Mg0],126,-102.35152053754284
126,ring -o- [H0 Z0 Mg0],127,-1.3414740069089621e-14
127,ring -O- [H0 Z0 Mg0],128,-96.21381421399877
128,-C-O [H3 Z0 Mg0],129,-140.45821636329515
129,-C-O [H2 Z-1 Mg0],130,5.857269034476246e-14
130,-C(-O)- [H2 Z0 Mg0],131,-153.42409804094964
131,-C(-O)- [H1 Z-1 Mg0],132,2.1356965093161103e-14
132,>C(-O)- [H1 Z0 Mg0],133,-166.75678847725572
133,>C(-O)- [H0 Z-1 Mg0],134,-1.4058212972089097e-14
134,[N]-O [H1 Z0 Mg0],135,4.128927438957302e-14
135,[N]-O [H0 Z-1 Mg0],136,-4.00534049686949e-14
136,-O- [H0 Z0 Mg0],137,-117.40306207207345
137,-C#C- [H1 Z0 Mg0],138,8.191840153312576e-15
138,-C#C [H1 Z0 Mg0],139,3.67003453032905e-15
139,-C#C [H0 Z-1 Mg0],140,-1.726248230403823e-14
140,N#C- [H0 Z0 Mg0],141,-4.679228485846405e-14
141,3-ring =c< [H0 Z0 Mg0],142,-5.753976227723472e-15
142,2-ring >C< [H0 Z0 Mg0],143,-1.646769597047757e-14
143,2-ring -C< [H1 Z0 Mg0],144,-175.89168360750188
144,2-ring -C- [H2 Z0 Mg0],145,-4.912178608280306e-14
145,2-ring =C< [H0 Z0 Mg0],146,-161.00935306820966
146,(1+1)-ring =C< [H0 Z0 Mg0],147,14.66542428613064
147,2-ring =c< [H0 Z0 Mg0],148,13.053459844062985
148,ring =c- [H1 Z0 Mg0],149,29.232246756099116
149,ring =c< [H0 Z0 Mg0],150,13.920602068537317
150,ring =C< [H0 Z0 Mg0],151,-3.605097392409202
151,ring =C- [H1 Z0 Mg0],152,35.02452211892197
152,=C- [H1 Z0 Mg0],153,45.716143700606146
153,=C [H2 Z0 Mg0],154,57.2364584962294
154,=C< [H0 Z0 Mg0],155,34.724208634094516
155,ring >C< [H0 Z0 Mg0],156,-2.3787256269620256
156,>C< [H0 Z0 Mg0],157,-5.713106892708822
157,ring -C< [H1 Z0 Mg0],158,0.40456495666088327
158,-C< [H1 Z0 Mg0],159,0.23450215976865169
159,ring -C- [H2 Z0 Mg0],160,13.34042640784464
160,-C- [H2 Z0 Mg0],161,7.038726572300861
161,-C [H3 Z0 Mg0],162,16.06066843108734
162,Origin [H0 Z0 Mg0],163,-54.06651960812401
163,compound:8576,164,-119.8999999999999
164,compound:5,165,-236.6846520602002
165,compound:7,166,16.400000000000055
166,compound:12,167,-1087.3306013164708
167,compound:74380,168,11.565379085650923
168,compound:14,169,-1962.760014872573
169,compound:75150,170,4.524391765211316e-14
170,compound:16,171,-386.0
171,compound:1296,172,127.98347434449978
172,compound:18,173,-79.31205964828511
173,compound:140,174,14.179951839415217
174,compound:75409,175,-14.179951839414656
175,compound:149,176,-175.2780518948997
176,compound:24,177,-133.98888208431472
177,compound:2713,178,-45.100000000000044
178,compound:2844,179,-66.08902594744991
179,compound:416,180,102.19678237071349
180,compound:161,181,19.875909999999955
181,compound:675,182,-34.378051894899805
182,compound:549,183,104.19999999999996
183,compound:168,184,-19.875909999999976
184,compound:41,185,-350.87296724645404
185,compound:684,186,18.69999999999999
186,compound:9903,187,-44.286615000000005
187,compound:4400,188,-66.54451297372495
188,compound:4401,189,-52.73353892117481
189,compound:694322,190,77.31068237071351
190,compound:56,191,-126.32084032947643
191,compound:1721,192,1.7185664312678035e-14
192,compound:58,193,-740.0285045555504
193,compound:184,194,17.610974052550123
194,compound:60,195,-584.1904342451352
195,compound:185,196,-4.61097146561725
196,compound:703,197,39.144546158111
197,compound:195,198,-108.69010794062416
198,compound:715,199,51.05548780976924
199,compound:333,200,37.17142198174447
200,compound:1101,201,-138.94451297372493
201,compound:84,202,0.0
202,compound:215,203,86.5
203,compound:4187,204,-300.7
204,compound:81378,205,-525.3372313128829
205,compound:101,206,-73.74451297372494
206,compound:104,207,-78.86043176249655
207,compound:748,208,-3.345463612140861
208,compound:621,209,-455.2604317624966
209,compound:110,210,-171.20847799374323
210,compound:241,211,119.57050616877514
211,compound:242,212,-39.8551258395872
212,compound:9721,213,44.28661499999997
